CD,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,AssessTot
101,363.19858,1870.55018,1348.07898,474.38198,981.37902,74.26955,202909.1242
102,277.42514,1106.61389,509.02818,540.16533,248.27854,115.77112,136176.5823
103,337.38622,893.89654,223.10786,640.60351,28.30148,64.77611,74205.49491
104,406.25322,1675.45175,878.04631,719.26499,375.16345,123.08112,181730.7754
105,290.16812,3574.05048,2784.9425,454.50047,2203.15264,315.15163,614998.2636
106,262.42286,1722.79307,717.45129,926.09092,510.24953,61.01459,216964.9197
107,377.72332,1657.68751,279.1622,1338.21612,44.88139,52.97293,172696.6175
108,382.62303,2140.34878,509.75359,1596.53262,135.22544,121.59457,251936.8278
109,300.13141,784.61603,335.05097,433.59973,58.85284,17.4118,39332.17567
110,255.92284,723.19656,164.59044,552.80546,25.11759,35.01226,33473.28038
111,557.98818,710.49506,231.17652,472.73574,31.40742,32.52669,45506.71678
112,608.96982,923.10644,248.10887,673.27327,16.11668,33.45112,46262.38506
164,365.9,0,0,0,0,0,33026.4
201,413.98733,602.0609,247.62827,351.32007,65.0248,27.65603,19624.69191
202,486.01151,350.18628,170.65505,178.5375,19.99989,13.66433,12322.08707
203,308.49159,440.52039,122.29778,316.84677,38.49012,17.60413,12804.18782
204,367.35545,713.35711,204.16768,507.0359,57.5095,33.51861,30089.73312
205,250.17429,532.80423,100.43445,430.35223,41.91947,21.30921,14675.72366
206,269.75533,411.95273,121.78793,288.69062,44.29351,21.1082,14233.39533
207,334.49272,683.10372,166.11871,516.49321,43.47309,29.31821,22908.18803
208,789.46327,613.68867,112.93985,499.76346,8.96095,16.16397,21055.95168
209,810.49507,754.77503,145.44739,608.34854,12.17711,37.02479,19736.92617
210,1415.12155,731.45782,175.20789,552.792,40.3013,44.40846,22737.98333
211,620.5622,636.89573,189.22234,445.56428,69.61024,24.37562,23279.66082
212,1039.99069,706.79723,133.78151,570.78894,11.69486,26.62004,18829.25056
226,481.20978,1.05913,1.05913,0,0,0,1054.476
227,331.20639,9.8142,7.7637,2.0505,0.20373,0.14,2376.9039
228,1124.95955,2.89221,2.89221,0,0.66208,0.01603,2306.84668
301,952.14818,1234.72316,445.97355,776.82241,50.20657,65.37743,45976.52926
302,553.05805,1278.74239,619.72395,615.36602,240.64202,73.70281,78381.50039
303,548.41065,862.69281,191.66137,620.71513,61.21409,35.95732,21550.72486
304,401.43265,489.3143,115.29681,369.66253,6.91136,26.43123,11647.06692
305,1093.15813,882.51663,252.68441,627.2293,61.06267,43.23888,25061.04056
306,619.0667,793.40206,251.54258,507.13656,32.27109,38.64722,29217.18791
307,787.29669,783.56331,398.30241,369.98655,26.24281,32.83999,24056.91312
308,308.20746,558.99163,104.20377,438.33356,24.90489,18.92446,15647.44994
309,308.81252,523.51929,111.92148,405.53239,23.85663,18.60463,16261.13418
310,880.01643,688.91665,125.57034,559.36199,35.98459,33.42699,23209.26652
311,695.45813,769.46585,124.72117,642.99345,23.33136,49.54695,20991.69819
312,657.643,896.17384,202.14907,689.15849,37.42409,40.6883,25903.58944
313,743.8699,555.33238,105.39652,449.28443,43.18172,22.94483,21219.09307
314,556.90934,824.3251,142.39438,680.54719,24.54734,39.00645,24002.58543
315,902.64881,861.85298,141.36997,718.54563,41.40385,47.15736,26503.77518
316,348.63641,440.52476,108.68909,328.38375,25.83281,20.06784,11057.707
317,613.38614,693.44922,135.37896,556.55957,15.02369,30.34469,18087.57744
318,2048.69858,960.55579,221.13138,724.36775,31.20773,51.77854,41365.64171
355,214.11405,8.60164,8.60164,0,5.664,0,2725.587
356,3473.74078,240.57602,240.57602,0,0.51602,0.06,29088.2826
401,1183.61779,1121.52738,395.26715,712.10524,60.94723,58.2067,49464.09045
402,877.51784,954.90808,458.66599,488.31064,83.49303,35.35633,43572.09259
403,526.65349,619.03305,98.27013,506.99977,15.46903,34.1657,23644.72767
404,423.87581,641.21308,157.55122,481.23475,19.43175,44.71806,25798.61853
405,1588.14603,948.49579,285.72766,661.03567,17.64406,50.98265,27590.69496
406,523.18253,721.09107,127.34687,594.46177,26.50803,46.21447,29723.30068
407,2924.51153,1941.04549,381.6663,1042.15252,70.62619,83.25027,62485.52229
408,1516.86412,830.87884,199.28365,626.97105,21.05097,24.41091,36796.85739
409,700.76837,627.439,150.69299,475.28516,20.80411,28.36982,18084.54135
410,1196.84003,526.78329,87.55057,427.48766,6.05002,29.01466,16029.51925
411,1804.57066,687.30392,112.25331,563.70127,19.01461,25.5135,33658.49831
412,1837.14816,1096.78116,301.7296,779.55671,54.5771,63.04591,36239.31208
413,2374.29842,910.15193,203.81289,700.50303,23.57166,32.18408,32609.32749
414,2088.7941,556.21865,93.33421,458.34566,7.10901,16.35549,20589.35746
480,330.73104,31.21821,31.21821,0,0.01752,0,27467.52593
481,448.0505,68.20901,68.20901,0,0.16366,0.352,9599.61618
482,236.84076,4.97714,0.62313,4.35401,0,0,2931.34856
483,2292.85618,170.95037,170.95037,0,0,0,69635.86485
484,910.60681,125.9289,125.9289,0,0.0132,0,23205.64941
501,3011.20738,983.77052,259.61999,717.48547,58.57248,50.6733,28521.44566
502,4365.53759,837.44327,197.23269,621.95169,45.11201,61.41794,38533.59639
503,4921.07941,989.94624,126.6339,840.79354,22.08738,34.977,31868.31472
595,878.24982,4.98568,4.9635,0.02218,0,0.1511,1337.95915
